name,url,level,hitpoints,max_hit,aggressive,accuracy,strength,defence,magic,range,speed,respawn_timer,loot
Bull,https://highspell.fandom.com/wiki/Bull,14,18,???,No,5,10,10,1,1,1,Unknown,"[{""item"": ""Bones"", ""quantity"": ""1"", ""rarity"": ""Always"", ""chance"": """"}, {""item"": ""Raw Beef"", ""quantity"": ""1"", ""rarity"": ""Always"", ""chance"": """"}]"
Charred Skeleton (Lvl 36),https://highspell.fandom.com/wiki/Charred_Skeleton_(Lvl_36),36,36,?,?,25,20,20,1,1,1,Unknown,"[{""item"": ""Charred Bones"", ""quantity"": ""1"", ""rarity"": ""Always"", ""chance"": """"}, {""item"": ""Coins"", ""quantity"": ""10"", ""rarity"": "".25"", ""chance"": """"}, {""item"": ""Coins"", ""quantity"": ""20"", ""rarity"": "".1"", ""chance"": """"}, {""item"": ""Vial"", ""quantity"": ""3"", ""rarity"": "".1"", ""chance"": """"}, {""item"": ""Fire Scroll"", ""quantity"": ""5"", ""rarity"": "".1"", ""chance"": """"}, {""item"": ""Fire Scroll"", ""quantity"": ""10"", ""rarity"": "".05"", ""chance"": """"}, {""item"": ""Vial"", ""quantity"": ""5"", ""rarity"": "".05"", ""chance"": """"}, {""item"": ""Coins"", ""quantity"": ""25"", ""rarity"": "".05"", ""chance"": """"}, {""item"": ""Baked Potato"", ""quantity"": ""1"", ""rarity"": "".05"", ""chance"": """"}, {""item"": ""Iron Arrows"", ""quantity"": ""5"", ""rarity"": "".05"", ""chance"": """"}, {""item"": ""Coal"", ""quantity"": ""1"", ""rarity"": "".05"", ""chance"": """"}, {""item"": ""Iron Bar"", ""quantity"": ""1"", ""rarity"": "".05"", ""chance"": """"}, {""item"": ""Vial"", ""quantity"": ""10"", ""rarity"": "".025"", ""chance"": """"}, {""item"": ""Palm Bow"", ""quantity"": ""1"", ""rarity"": "".02"", ""chance"": """"}, {""item"": ""Iron Full Helm"", ""quantity"": ""1"", ""rarity"": "".02"", ""chance"": """"}, {""item"": ""Iron Great Sword"", ""quantity"": ""1"", ""rarity"": "".0125"", ""chance"": """"}, {""item"": ""Iron Shield"", ""quantity"": ""1"", ""rarity"": "".01"", ""chance"": """"}]"
Charred Skeleton (Lvl 48),https://highspell.fandom.com/wiki/Charred_Skeleton_(Lvl_48),48,45,?,?,30,40,30,1,1,1,Unknown,"[{""item"": ""Charred Bones"", ""quantity"": ""1"", ""rarity"": ""Always"", ""chance"": """"}, {""item"": ""Coins"", ""quantity"": ""12"", ""rarity"": ""0.25"", ""chance"": """"}, {""item"": ""Coins"", ""quantity"": ""25"", ""rarity"": ""0.1"", ""chance"": """"}, {""item"": ""Vial"", ""quantity"": ""3"", ""rarity"": ""0.1"", ""chance"": """"}, {""item"": ""Fire Scroll"", ""quantity"": ""5"", ""rarity"": ""0.1"", ""chance"": """"}, {""item"": ""Fire Scroll"", ""quantity"": ""15"", ""rarity"": ""0.1"", ""chance"": """"}, {""item"": ""Vial"", ""quantity"": ""8"", ""rarity"": ""0.05"", ""chance"": """"}, {""item"": ""Coins"", ""quantity"": ""30"", ""rarity"": ""0.05"", ""chance"": """"}, {""item"": ""Grilled Corn"", ""quantity"": ""1"", ""rarity"": ""0.05"", ""chance"": """"}, {""item"": ""Iron Arrows"", ""quantity"": ""5"", ""rarity"": ""0.05"", ""chance"": """"}, {""item"": ""Coal"", ""quantity"": ""2"", ""rarity"": ""0.0475"", ""chance"": """"}, {""item"": ""Steel Bar"", ""quantity"": ""1"", ""rarity"": ""0.0475"", ""chance"": """"}, {""item"": ""Vial"", ""quantity"": ""15"", ""rarity"": ""0.025"", ""chance"": """"}, {""item"": ""Cherry Bow"", ""quantity"": ""1"", ""rarity"": ""0.02"", ""chance"": """"}, {""item"": ""Warp Scroll"", ""quantity"": ""2"", ""rarity"": ""0.02"", ""chance"": """"}, {""item"": ""Steel Full Helm"", ""quantity"": ""1"", ""rarity"": ""0.0125"", ""chance"": """"}, {""item"": ""Steel Hatchet"", ""quantity"": ""1"", ""rarity"": ""0.01"", ""chance"": """"}, {""item"": ""Steel Great Sword"", ""quantity"": ""1"", ""rarity"": ""0.005"", ""chance"": """"}, {""item"": ""Steel Shield"", ""quantity"": ""1"", ""rarity"": ""0.005"", ""chance"": """"}, {""item"": ""Ruby Necklace"", ""quantity"": ""1"", ""rarity"": ""0.0025"", ""chance"": """"}]"
Chicken,https://highspell.fandom.com/wiki/Chicken,2,3,???,No,2,1,1,1,1,1,Unknown,"[{""item"": ""Bones"", ""quantity"": ""1"", ""rarity"": ""Always"", ""chance"": """"}, {""item"": ""Raw Chicken"", ""quantity"": ""1"", ""rarity"": ""Always"", ""chance"": """"}, {""item"": ""Feathers"", ""quantity"": ""3"", ""rarity"": ""Always"", ""chance"": """"}]"
Cave Chicken,https://highspell.fandom.com/wiki/Cave_Chicken,24,20,?,No,10,25,10,1,1,1,30s,"[{""item"": ""Bones"", ""quantity"": ""x1"", ""rarity"": ""Always"", ""chance"": """"}, {""item"": ""Raw chicken"", ""quantity"": ""x2"", ""rarity"": ""Always"", ""chance"": """"}, {""item"": ""Feathers"", ""quantity"": ""x10"", ""rarity"": ""1/2.5"", ""chance"": """"}, {""item"": ""Feathers"", ""quantity"": ""x15"", ""rarity"": ""1/3.33"", ""chance"": """"}, {""item"": ""Feathers"", ""quantity"": ""x5"", ""rarity"": ""1/5"", ""chance"": """"}, {""item"": ""Feathers"", ""quantity"": ""x20"", ""rarity"": ""1/10"", ""chance"": """"}, {""item"": ""Low Root Table"", ""quantity"": """", ""rarity"": ""1/10"", ""chance"": """"}]"
Corrupt Minotaur,https://highspell.fandom.com/wiki/Corrupt_minotaur,97,95,???,Yes,75 + 30 bonus,80 + 30 bonus,80,1,1,1,Unknown,"[{""item"": ""Bones"", ""quantity"": ""1"", ""rarity"": ""Always"", ""chance"": """"}, {""item"": ""Coins"", ""quantity"": ""95"", ""rarity"": ""1/3.3"", ""chance"": """"}, {""item"": ""Coins"", ""quantity"": ""120"", ""rarity"": ""1/10"", ""chance"": """"}, {""item"": ""Coins"", ""quantity"": ""220"", ""rarity"": ""1/10"", ""chance"": """"}, {""item"": ""Raw Beef"", ""quantity"": ""1"", ""rarity"": ""1/10"", ""chance"": """"}, {""item"": ""Bronze Bar (IOU)"", ""quantity"": ""3"", ""rarity"": ""1/10"", ""chance"": """"}, {""item"": ""Fire Scroll"", ""quantity"": ""15"", ""rarity"": ""1/10"", ""chance"": """"}, {""item"": ""Rage Scroll"", ""quantity"": ""10"", ""rarity"": ""1/20"", ""chance"": """"}, {""item"": ""High Root Loot Table"", ""quantity"": """", ""rarity"": ""1/20"", ""chance"": """"}, {""item"": ""Rare Loot Table"", ""quantity"": """", ""rarity"": ""1/25"", ""chance"": """"}, {""item"": ""Alchemy Scroll"", ""quantity"": ""5"", ""rarity"": ""1/40"", ""chance"": """"}, {""item"": ""Warp Scroll"", ""quantity"": ""5"", ""rarity"": ""1/40"", ""chance"": """"}, {""item"": ""Potion of Defense (2)"", ""quantity"": ""1"", ""rarity"": ""1/40"", ""chance"": """"}, {""item"": ""Blue Wizard's Hat"", ""quantity"": ""1"", ""rarity"": ""1/50"", ""chance"": """"}, {""item"": ""Ruby Necklace"", ""quantity"": ""1"", ""rarity"": ""1/100"", ""chance"": """"}, {""item"": ""Palladium Chestplate"", ""quantity"": ""1"", ""rarity"": ""1/100"", ""chance"": """"}, {""item"": ""Coronium Full Helm"", ""quantity"": ""1"", ""rarity"": ""1/133.3"", ""chance"": """"}, {""item"": ""Coronium Great Sword"", ""quantity"": ""1"", ""rarity"": ""1/200"", ""chance"": """"}, {""item"": ""Coronium Battleaxe"", ""quantity"": ""1"", ""rarity"": ""1/200"", ""chance"": """"}, {""item"": ""Helmet of Melee"", ""quantity"": ""1"", ""rarity"": ""1/10,000"", ""chance"": """"}]"
Cow,https://highspell.fandom.com/wiki/Cow,5,10,???,No,2,3,4,1,1,1,Unknown,"[{""item"": ""Bones"", ""quantity"": ""1"", ""rarity"": ""Always"", ""chance"": """"}, {""item"": ""Raw Beef"", ""quantity"": ""1"", ""rarity"": ""Always"", ""chance"": """"}]"
Dark Monk,https://highspell.fandom.com/wiki/Dark_Monk,46,55,???,Yes,40 + 10 bonus,35 + 10 bonus,10 + 5 bonus,1,1,1,Unknown,"[{""item"": ""Bones"", ""quantity"": ""1"", ""rarity"": ""Always"", ""chance"": """"}, {""item"": ""Coins"", ""quantity"": ""15"", ""rarity"": ""0.2"", ""chance"": """"}, {""item"": ""Coins"", ""quantity"": ""25"", ""rarity"": ""0.1"", ""chance"": """"}, {""item"": ""Vial (IOU)"", ""quantity"": ""5"", ""rarity"": ""0.1"", ""chance"": """"}, {""item"": ""Fury Scroll"", ""quantity"": ""5"", ""rarity"": ""0.1"", ""chance"": """"}, {""item"": ""Fire Scroll"", ""quantity"": ""8"", ""rarity"": ""0.1"", ""chance"": """"}, {""item"": ""Potion of Accuracy (1)"", ""quantity"": ""1"", ""rarity"": ""0.05"", ""chance"": """"}, {""item"": ""Warp Scroll"", ""quantity"": ""2"", ""rarity"": ""0.05"", ""chance"": """"}, {""item"": ""Rage Scroll"", ""quantity"": ""2"", ""rarity"": ""0.05"", ""chance"": """"}, {""item"": ""Bronze Shield"", ""quantity"": ""1"", ""rarity"": ""0.05"", ""chance"": """"}, {""item"": ""Raw Salmon"", ""quantity"": ""1"", ""rarity"": ""0.05"", ""chance"": """"}, {""item"": ""Steel Full Helm"", ""quantity"": ""1"", ""rarity"": ""0.03"", ""chance"": """"}, {""item"": ""Monks Necklace Mould"", ""quantity"": ""1"", ""rarity"": ""0.02"", ""chance"": """"}, {""item"": ""Robe Top"", ""quantity"": ""1"", ""rarity"": ""0.02"", ""chance"": """"}, {""item"": ""Robe Bottoms"", ""quantity"": ""1"", ""rarity"": ""0.02"", ""chance"": """"}, {""item"": ""Old Hood"", ""quantity"": ""1"", ""rarity"": ""0.02"", ""chance"": """"}, {""item"": ""Steel Chainmail Body"", ""quantity"": ""1"", ""rarity"": ""0.02"", ""chance"": """"}, {""item"": ""Steel Scimitar"", ""quantity"": ""1"", ""rarity"": ""0.01"", ""chance"": """"}, {""item"": ""Coronium Gloves"", ""quantity"": ""1"", ""rarity"": ""0.002"", ""chance"": """"}, {""item"": ""Celadon Scimitar"", ""quantity"": ""1"", ""rarity"": ""0.0008"", ""chance"": """"}]"
Dragon Hatchling (Plains),https://highspell.fandom.com/wiki/Dragon_hatchling_(Plains),40,40,???,Yes,30,36,30,1,1,1,Unknown,"[{""item"": ""Bones"", ""quantity"": ""1"", ""rarity"": ""Always"", ""chance"": """"}, {""item"": ""Nature Scroll"", ""quantity"": ""10"", ""rarity"": "".33"", ""chance"": """"}, {""item"": ""Fury Scroll"", ""quantity"": ""4"", ""rarity"": "".1"", ""chance"": """"}]"
Dragon Hatchling (Fire),https://highspell.fandom.com/wiki/Dragon_Hatchling_(Fire),52,50,?,Yes,40,45,40 + 10 bonus,1,1,1,Unknown,"[{""item"": ""Bones"", ""quantity"": ""1"", ""rarity"": ""Always"", ""chance"": """"}, {""item"": ""Fire Scroll"", ""quantity"": ""10"", ""rarity"": ""1/3"", ""chance"": """"}, {""item"": ""High Root Loot Table"", ""quantity"": """", ""rarity"": ""1/8"", ""chance"": """"}, {""item"": ""Fury Scroll"", ""quantity"": ""6"", ""rarity"": ""1/10"", ""chance"": """"}, {""item"": ""Rare Loot Table"", ""quantity"": """", ""rarity"": ""1/20"", ""chance"": """"}]"
Dragon Hatchling (Water),https://highspell.fandom.com/wiki/Dragon_Hatchling_(Water),45,45,?,Yes,35,40,35 + 10 bonus,1,1,1,Unknown,"[{""item"": ""Bones"", ""quantity"": ""1"", ""rarity"": ""Always"", ""chance"": """"}, {""item"": ""Water Scroll"", ""quantity"": ""10"", ""rarity"": "".33"", ""chance"": """"}, {""item"": ""Fury Scroll"", ""quantity"": ""5"", ""rarity"": "".1"", ""chance"": """"}]"
Dwarf,https://highspell.fandom.com/wiki/Dwarf,14,18,???,No,5 + 5 bonus,10 + 10 bonus,15 + 10 bonus,1,1,1,Unknown,"[{""item"": ""Bones"", ""quantity"": ""1"", ""rarity"": ""Always"", ""chance"": """"}, {""item"": ""Coins"", ""quantity"": ""6"", ""rarity"": ""0.2"", ""chance"": ""15{\\displaystyle \\frac{1}{5}}""}, {""item"": ""Half Beer"", ""quantity"": ""1"", ""rarity"": ""0.15"", ""chance"": ""16.667{\\displaystyle {\\frac {1}{6.667}}}""}, {""item"": ""Coins"", ""quantity"": ""8"", ""rarity"": ""0.1"", ""chance"": ""110{\\displaystyle \\frac{1}{10}}""}, {""item"": ""Iron Helm"", ""quantity"": ""1"", ""rarity"": ""0.1"", ""chance"": ""110{\\displaystyle \\frac{1}{10}}""}, {""item"": ""Iron Ore"", ""quantity"": ""1"", ""rarity"": ""0.1"", ""chance"": ""110{\\displaystyle \\frac{1}{10}}""}, {""item"": ""Beer"", ""quantity"": ""1"", ""rarity"": ""0.075"", ""chance"": ""113.333{\\displaystyle {\\frac {1}{13.333}}}""}, {""item"": ""Empty Glass Jar"", ""quantity"": ""1"", ""rarity"": ""0.07"", ""chance"": ""114.286{\\displaystyle {\\frac {1}{14.286}}}""}, {""item"": ""Iron Bar"", ""quantity"": ""1"", ""rarity"": ""0.07"", ""chance"": ""114.286{\\displaystyle {\\frac {1}{14.286}}}""}, {""item"": ""Hammer"", ""quantity"": ""1"", ""rarity"": ""0.05"", ""chance"": ""120{\\displaystyle \\frac{1}{20}}""}, {""item"": ""Bronze Pickaxe"", ""quantity"": ""1"", ""rarity"": ""0.05"", ""chance"": ""120{\\displaystyle \\frac{1}{20}}""}, {""item"": ""Iron Pickaxe"", ""quantity"": ""1"", ""rarity"": ""0.025"", ""chance"": ""140{\\displaystyle \\frac{1}{40}}""}, {""item"": ""Rare Loot Table"", ""quantity"": """", ""rarity"": ""0.01"", ""chance"": ""1100{\\displaystyle \\frac {1}{100}}""}, {""item"": ""Steel Pickaxe"", ""quantity"": ""1"", ""rarity"": ""0.005"", ""chance"": ""1200{\\displaystyle \\frac{1}{200}}""}]"
Elder Knight,https://highspell.fandom.com/wiki/Elder_knight,102,90,???,No,80 + 60 Bonus,80 + 60 Bonus,85 + 80 Bonus,1,1,1,Unknown,"[{""item"": ""Bones"", ""quantity"": ""1"", ""rarity"": ""Always"", ""chance"": """"}, {""item"": ""Coins"", ""quantity"": ""90"", ""rarity"": ""0.2"", ""chance"": ""1/5""}, {""item"": ""Coins"", ""quantity"": ""275"", ""rarity"": ""0.1"", ""chance"": ""1/10""}, {""item"": ""Water Scroll"", ""quantity"": ""30"", ""rarity"": ""0.1"", ""chance"": ""1/10""}, {""item"": ""Nature Scroll"", ""quantity"": ""30"", ""rarity"": ""0.875"", ""chance"": ""1/11.4""}, {""item"": ""Fire Scroll"", ""quantity"": ""30"", ""rarity"": ""0.075"", ""chance"": ""1/13.3""}, {""item"": ""Coins"", ""quantity"": ""400"", ""rarity"": ""0.05"", ""chance"": ""1/20""}, {""item"": ""Rare Loot Table"", ""quantity"": """", ""rarity"": ""0.05"", ""chance"": ""1/20""}, {""item"": ""Coins"", ""quantity"": ""625"", ""rarity"": ""0.05"", ""chance"": ""1/20""}, {""item"": ""Salmon"", ""quantity"": ""1"", ""rarity"": ""0.04"", ""chance"": ""1/25""}, {""item"": ""Warp Scroll"", ""quantity"": ""3"", ""rarity"": ""0.035"", ""chance"": ""1/28.57""}, {""item"": ""Alchemy Scroll"", ""quantity"": ""3"", ""rarity"": ""0.035"", ""chance"": ""1/28.57""}, {""item"": ""Red Cape"", ""quantity"": ""1"", ""rarity"": ""0.03"", ""chance"": ""1/33.33""}, {""item"": ""Palm Scroll(IOU)"", ""quantity"": ""10"", ""rarity"": ""0.02"", ""chance"": ""1/50""}, {""item"": ""Sakura Logs(IOU)"", ""quantity"": ""4"", ""rarity"": ""0.02"", ""chance"": ""1/50""}, {""item"": ""Palladium Bar(IOU)"", ""quantity"": ""2"", ""rarity"": ""0.02"", ""chance"": ""1/50""}, {""item"": ""Palladium Gloves"", ""quantity"": ""1"", ""rarity"": ""0.015"", ""chance"": ""1/66.67""}, {""item"": ""Palladium Helm"", ""quantity"": ""1"", ""rarity"": ""0.015"", ""chance"": ""1/66.67""}, {""item"": ""Palladium Pickaxe"", ""quantity"": ""1"", ""rarity"": ""0.0125"", ""chance"": ""1/80""}, {""item"": ""Topaz Necklace"", ""quantity"": ""1"", ""rarity"": ""0.01"", ""chance"": ""1/100""}, {""item"": ""Lucky Scroll(IOU)"", ""quantity"": ""5"", ""rarity"": ""0.01"", ""chance"": ""1/100""}, {""item"": ""Pumpkin"", ""quantity"": ""1"", ""rarity"": ""0.01"", ""chance"": ""1/100""}, {""item"": ""Palladium Longsword"", ""quantity"": ""1"", ""rarity"": ""0.01"", ""chance"": ""1/100""}, {""item"": ""Palladium Full Helm"", ""quantity"": ""1"", ""rarity"": ""0.0075"", ""chance"": ""1/133.3""}, {""item"": ""Palladium Shield"", ""quantity"": ""1"", ""rarity"": ""0.005"", ""chance"": ""1/200""}, {""item"": ""Ruby Necklace"", ""quantity"": ""1"", ""rarity"": ""0.0025"", ""chance"": ""1/400""}, {""item"": ""Silver Full Helm"", ""quantity"": ""1"", ""rarity"": ""0.00125"", ""chance"": ""1/800""}, {""item"": ""Silver Platelegs"", ""quantity"": ""1"", ""rarity"": ""0.001"", ""chance"": ""1/1000""}, {""item"": ""Silver Chestplate"", ""quantity"": ""1"", ""rarity"": ""0.0005"", ""chance"": ""1/2000""}, {""item"": ""Coronium Longsword"", ""quantity"": ""1"", ""rarity"": ""0.00025"", ""chance"": ""1/4000""}, {""item"": ""Coronium Shield"", ""quantity"": ""1"", ""rarity"": ""0.0001"", ""chance"": ""1/10000""}]"
